Feature Name,coef
84_34,7.618096828460693
32_38,7.439485549926758
84_66,7.363255023956299
84_16,7.183672904968262
84_41,7.1114888191223145
40_38,7.088329315185547
84_17,7.012775897979736
84_80,7.004916191101074
84_78,6.954808235168457
64_39,6.85302209854126
35_21,6.777770519256592
84_81,6.747953414916992
39_64,6.702010631561279
80_38,6.69388484954834
67_40,6.553262233734131
34_84,6.553212642669678
24_38,6.549549102783203
26_38,6.537278652191162
18_38,6.518816947937012
39_88,6.509440898895264
43_38,6.404019832611084
50_88,6.399753570556641
88_39,6.332778453826904
64_79,6.253844261169434
38_40,6.251498222351074
57_38,6.231420040130615
4_38,6.22592830657959
41_38,6.20440673828125
34_39,6.203598499298096
43_40,6.133570194244385
88_50,6.073113918304443
84_18,6.067844390869141
84_3,6.058024883270264
84_29,5.959840774536133
34_54,5.949028968811035
38_32,5.939670562744141
80_40,5.936888694763184
54_21,5.912172794342041
84_51,5.869355201721191
88_5,5.867328643798828
1_38,5.865920066833496
36_87,5.81647253036499
21_41,5.767644882202148
84_11,5.732966423034668
27_88,5.7208380699157715
26_40,5.7162604331970215
39_28,5.679118633270264
10_88,5.658087253570557
39_34,5.617916584014893
20_21,5.613296985626221
84_71,5.613048553466797
30_38,5.570240497589111
84_9,5.553279399871826
84_86,5.540482044219971
61_36,5.521748065948486
81_16,5.44687557220459
54_34,5.421192169189453
34_17,5.415915012359619
39_66,5.404233932495117
34_41,5.403955936431885
88_58,5.383879661560059
5_88,5.358831882476807
32_40,5.345691204071045
84_30,5.342364311218262
87_34,5.334767818450928
88_81,5.295659065246582
22_38,5.28856897354126
21_54,5.285089492797852
40_67,5.284518241882324
87_36,5.272459983825684
88_27,5.270888328552246
84_36,5.251534938812256
34_21,5.234082221984863
34_16,5.213686466217041
81_88,5.198636531829834
84_26,5.179636478424072
39_5,5.1746907234191895
84_76,5.165137767791748
85_32,5.159243583679199
84_8,5.138044834136963
48_88,5.136577606201172
81_17,5.133699417114258
84_25,5.114073276519775
32_85,5.100560665130615
39_16,5.09603214263916
58_79,5.092133522033691
71_40,5.0906219482421875
89_34,5.088300704956055
85_57,5.0763421058654785
36_61,5.074835777282715
89_17,5.071817874908447
38_26,5.051157474517822
58_88,5.043126583099365
25_85,5.0317301750183105
76_38,5.014278411865234
64_81,5.008497714996338
80_37,5.003518104553223
54_79,4.995578765869141
71_85,4.995244026184082
21_20,4.990304946899414
