Feature Name,coef
87_35,5.724910736083984
87_34,5.515801906585693
34_20,5.478702545166016
34_21,5.403170108795166
27_34,5.202303886413574
27_35,5.15503454208374
34_39,5.029160976409912
34_6,4.930230617523193
76_73,4.875256538391113
22_53,4.873918056488037
76_72,4.8729658126831055
35_76,4.859603404998779
34_40,4.782811641693115
87_20,4.772843837738037
76_59,4.751106262207031
11_77,4.73179817199707
34_56,4.670583724975586
34_72,4.663530349731445
3_34,4.663501739501953
11_0,4.651291847229004
27_65,4.648198127746582
58_76,4.6347808837890625
3_77,4.606832027435303
72_76,4.605393409729004
59_77,4.5741472244262695
34_73,4.573519229888916
34_29,4.506673812866211
34_87,4.502171516418457
34_85,4.485774993896484
76_35,4.451915264129639
87_0,4.436100959777832
34_55,4.429302215576172
5_14,4.408033847808838
51_77,4.387721061706543
34_3,4.366919040679932
76_39,4.360964298248291
34_35,4.34278678894043
22_35,4.3397979736328125
34_28,4.326960563659668
34_54,4.292413234710693
77_3,4.280163764953613
81_1,4.272426128387451
0_11,4.250567436218262
20_77,4.228324890136719
2_76,4.220981597900391
83_35,4.216663360595703
81_21,4.215773582458496
81_55,4.213479995727539
40_77,4.211573600769043
87_76,4.185761451721191
37_21,4.185340881347656
22_77,4.185119152069092
34_76,4.175355911254883
34_53,4.170928001403809
73_77,4.14451265335083
14_34,4.143780708312988
11_35,4.126417636871338
39_35,4.125490665435791
34_61,4.122090816497803
22_34,4.111347198486328
20_34,4.098370552062988
81_51,4.087184429168701
83_34,4.070674896240234
54_34,4.062692165374756
15_35,4.046192646026611
14_3,4.04351282119751
63_34,4.043102741241455
14_5,4.03283166885376
22_76,4.024881839752197
34_83,4.024292469024658
41_85,4.02016544342041
54_35,4.015634536743164
76_2,4.003208637237549
76_27,3.9941039085388184
36_77,3.9845364093780518
34_57,3.9819495677948
34_10,3.9797003269195557
14_21,3.9795055389404297
87_3,3.9628748893737793
75_34,3.959588050842285
52_77,3.958780527114868
27_39,3.95235013961792
20_76,3.9464991092681885
77_73,3.94535493850708
13_77,3.92437744140625
27_55,3.9179065227508545
18_35,3.916522979736328
14_0,3.9154813289642334
27_75,3.912431240081787
35_87,3.9124155044555664
76_20,3.9011411666870117
76_8,3.900967836380005
34_27,3.888643503189087
59_76,3.887327194213867
34_74,3.88329815864563
14_35,3.882491111755371
34_31,3.877972364425659
34_0,3.86921763420105
30_20,3.8538784980773926
77_51,3.852581262588501
