Feature Name,coef
9_40,16.277362823486328
55_40,16.86729621887207
8_40,16.502914428710938
88_4,15.219676971435547
38_41,15.164446830749512
89_28,15.926054954528809
48_40,15.341634750366211
55_41,15.89501953125
40_8,16.201828002929688
40_41,16.63484001159668
89_5,15.090271949768066
40_4,18.384109497070312
89_40,16.564327239990234
89_8,15.518959045410156
40_9,15.909259796142578
40_55,18.476459503173828
89_9,15.569344520568848
89_4,16.734731674194336
3_40,15.22506332397461
41_40,15.999611854553223
71_40,15.539101600646973
85_55,16.286495208740234
57_40,15.291375160217285
4_40,15.821063995361328
40_32,14.88441276550293
40_68,14.846183776855469
86_40,14.828227996826172
50_40,14.798759460449219
32_40,14.774737358093262
38_55,14.673873901367188
30_55,14.645756721496582
40_65,14.461413383483887
40_7,14.429256439208984
26_40,14.411093711853027
88_9,14.400052070617676
89_68,14.387273788452148
36_34,14.377527236938477
36_70,14.281712532043457
34_40,14.245565414428711
36_28,14.174525260925293
40_3,14.147688865661621
36_40,14.143112182617188
40_36,14.130342483520508
47_40,14.09443473815918
40_71,14.044511795043945
5_40,14.000150680541992
46_40,13.897863388061523
89_7,13.735882759094238
54_87,13.723442077636719
87_54,13.707655906677246
7_40,13.6615629196167
38_40,13.589089393615723
55_30,13.488022804260254
40_48,13.430663108825684
89_3,13.414799690246582
48_55,13.405317306518555
88_40,13.311676025390625
55_85,13.296021461486816
57_55,13.26682186126709
70_74,13.245179176330566
74_70,13.139781951904297
56_40,13.128291130065918
45_40,13.087081909179688
89_50,13.042807579040527
89_80,13.011496543884277
40_26,12.962718963623047
55_68,12.960124015808105
32_55,12.95541763305664
7_55,12.951627731323242
54_83,12.947896957397461
63_55,12.934552192687988
89_87,12.881834030151367
40_89,12.849740982055664
74_55,12.8425874710083
34_84,12.837542533874512
0_40,12.813746452331543
83_54,12.79975700378418
88_68,12.794574737548828
68_40,12.735377311706543
34_55,12.710216522216797
87_62,12.675844192504883
68_55,12.666952133178711
40_57,12.6621675491333
60_40,12.606086730957031
88_8,12.597860336303711
66_87,12.581276893615723
62_87,12.576420783996582
40_50,12.55251407623291
40_34,12.530916213989258
88_76,12.516844749450684
65_40,12.516286849975586
89_24,12.503229141235352
55_82,12.50090503692627
8_68,12.492055892944336
30_87,12.472027778625488
87_30,12.452003479003906
89_41,12.438494682312012
76_40,12.434040069580078
85_37,12.408517837524414
36_80,12.34864616394043
